time,base_x,base_y,base_z,base_quat_x,base_quat_y,base_quat_z,base_quat_w,base_lin_x,base_lin_y,base_lin_z,base_ang_x,base_ang_y,base_ang_z,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11,contact_LF,contact_RF,contact_LH,contact_RH
0.86,0.447705,-0.0225799,0.306163,0.0380862,-0.0471697,-0.00511154,0.998147,0.82771,-0.250073,-0.0199781,0.757682,0.0117778,-0.595492,-0.0554304,1.05889,-1.1848,-0.0202814,0.18217,-1.14856,0.0107749,0.953971,-1.92318,0.0382239,0.949109,-1.72195,0.129354,0.699437,3.4814,0.638118,3.98594,-4.30365,-0.029705,-6.66932,-2.28986,-0.262146,3.37457,-0.911927,1,1,0,1,
0.88,0.464364,-0.027228,0.305825,0.0446688,-0.045649,-0.0115167,0.997892,0.838436,-0.213103,-0.0138577,0.623673,0.323248,-0.594556,-0.053192,1.06688,-1.11513,-0.00627368,0.255477,-1.23194,0.00993832,0.841118,-1.89897,0.031226,1.0021,-1.72362,0.111922,0.399523,3.48353,0.700384,3.66534,-4.16863,-0.0418284,-5.64269,1.21016,-0.349895,2.64934,-0.0837014,1,1,0,1,
0.9,0.481251,-0.0310389,0.305607,0.0499726,-0.0412629,-0.0175443,0.997744,0.850481,-0.166363,-0.00802058,0.503987,0.584036,-0.505584,-0.0523886,1.06915,-1.04482,0.00650504,0.323814,-1.31162,0.00841645,0.658737,-1.78684,0.0226483,1.04174,-1.71023,0.0401684,0.113179,3.51561,0.638936,3.41687,-3.984,-0.0760932,-9.11904,5.60683,-0.428885,1.98225,0.669441,1,1,0,1,
0.92,0.498383,-0.0338434,0.305511,0.0541004,-0.0344426,-0.0225142,0.997687,0.862546,-0.113757,-0.00113441,0.38364,0.807755,-0.389339,-0.0535617,1.06585,-0.973311,0.0161325,0.38832,-1.38674,0.00787033,0.419673,-1.58228,0.0130821,1.06895,-1.68281,-0.058656,-0.165042,3.57527,0.481372,3.22528,-3.75623,-0.0273062,-11.9532,10.2279,-0.478314,1.3606,1.37122,1,1,0,1,
0.94,0.515744,-0.0355762,0.305577,0.0569406,-0.0254816,-0.0265624,0.997699,0.873332,-0.0591918,0.00813324,0.24923,1.00742,-0.30659,-0.0550349,1.06709,-0.939284,0.0229095,0.449231,-1.45656,0.00807303,0.174115,-1.31185,0.00274884,1.08328,-1.64136,-0.0736588,0.0621081,1.70133,0.338853,3.04553,-3.49074,0.0101352,-12.2779,13.5213,-0.516661,0.716567,2.07265,0,1,0,1,
0.96,0.533308,-0.036198,0.305853,0.0583259,-0.0146482,-0.0300083,0.997739,0.882838,-0.00266543,0.0197824,0.0996207,1.18236,-0.254634,-0.0490322,1.11366,-1.11634,0.0275346,0.506522,-1.5202,0.00829199,-0.0368556,-1.03299,-0.00825474,1.08411,-1.58553,0.300134,2.32848,-8.85292,0.231254,2.86457,-3.18207,0.0109476,-10.5485,13.9431,-0.550179,0.0413551,2.79112,0,1,0,1,
0.98,0.551049,-0.0356697,0.306385,0.0580903,-0.00221782,-0.0331458,0.997758,0.891065,0.0558215,0.033813,-0.0653739,1.33215,-0.23081,-0.0349356,1.14837,-1.38533,0.0305455,0.560073,-1.57669,0.00731477,-0.149182,-0.864145,-0.0198074,1.07095,-1.51473,0.704831,1.73549,-13.4492,0.150543,2.67754,-2.82457,-0.0488605,-5.6163,8.44231,-0.577631,-0.657898,3.54015,0,1,0,1,
1,0.568942,-0.0339521,0.307221,0.0560788,0.0115307,-0.0362455,0.997702,0.898012,0.116269,0.0502251,-0.245145,1.45676,-0.23259,-0.014346,1.12099,-1.63422,0.0323534,0.609609,-1.62498,0.00366277,-0.112604,-0.906018,-0.031763,1.04333,-1.42784,1.02948,-1.3689,-12.4449,0.0903937,2.47682,-2.41476,-0.1826,1.82889,-2.09366,-0.59778,-1.38125,4.34433,0,1,1,1,
1.02,0.586957,-0.0310528,0.308384,0.0522225,0.0259683,-0.0394436,0.997518,0.90297,0.171635,0.0651255,-0.421736,1.44852,-0.229817,0.00942155,1.02434,-1.80829,0.0330536,0.655209,-1.66338,-0.000982032,-0.0635143,-0.962282,-0.0437342,1.00214,-1.32422,1.18838,-4.83221,-8.70321,0.0350125,2.27998,-1.92004,-0.23224,2.45448,-2.81318,-0.598563,-2.05929,5.18115,0,1,1,1,
1.04,0.605043,-0.0271675,0.30979,0.0467305,0.0390599,-0.0424326,0.997241,0.905229,0.214877,0.0746212,-0.58083,1.19936,-0.198101,0.029382,0.902882,-1.89017,0.0319552,0.698904,-1.68774,-0.00620229,-0.0142014,-1.01302,-0.0546174,0.954545,-1.20774,0.998021,-6.07313,-4.09433,-0.0549207,2.18478,-1.21772,-0.261013,2.46564,-2.53707,-0.544159,-2.37989,5.82428,0,1,1,1,
